"Year","RK","DRIVER","POINTS","WINS","POLES","TOP_5","TOP_10","MAKE","TEAM"
2016,1,"Jimmie Johnson",5040,5,1,11,16,"Chevrolet","Hendrick Motorsports"
2016,2,"Joey Logano",5037,3,3,16,26,"Ford","Penske Racing"
2016,3,"Kyle Busch",5035,4,2,17,25,"Toyota","Joe Gibbs Racing"
2016,4,"Carl Edwards",5007,3,6,9,18,"Toyota","Joe Gibbs Racing"
2016,5,"Matt Kenseth",2330,2,1,8,19,"Toyota","Joe Gibbs Racing"
2016,6,"Denny Hamlin",2320,3,1,12,22,"Toyota","Joe Gibbs Racing"
2016,7,"Kurt Busch",2296,1,2,9,21,"Chevrolet","Chip Ganassi Racing with Felix Sabates"
2016,8,"Kevin Harvick",2289,4,2,17,27,"Ford","Stewart-Haas Racing"
2016,9,"Kyle Larson",2288,1,0,10,15,"Chevrolet","Chip Ganassi Racing with Felix Sabates"
2016,10,"Chase Elliott",2285,0,2,10,17,"Chevrolet","Hendrick Motorsports"
2016,11,"Martin Truex Jr.",2271,4,5,8,17,"Toyota","Joe Gibbs Racing"
2016,12,"Brad Keselowski",2267,4,1,16,22,"Ford","Penske Racing"
2016,13,"Jamie McMurray",2231,0,0,2,12,"Chevrolet","Chip Ganassi Racing with Felix Sabates"
2016,14,"Austin Dillon",2223,0,2,4,13,"Chevrolet","Richard Childress Racing"
2016,15,"Tony Stewart",2211,1,0,5,8,"Chevrolet","Stewart-Haas Racing"
2016,16,"Chris Buescher",2169,1,0,2,2,"Chevrolet","JTG Daugherty Racing"
2016,17,"Kasey Kahne",898,0,0,3,13,"Chevrolet","Hendrick Motorsports"
2016,18,"Ryan Newman",895,0,0,2,10,"Ford","Roush Fenway Racing"
2016,19,"AJ Allmendinger",830,0,0,2,9,"Chevrolet","JTG Daugherty Racing"
2016,20,"Ryan Blaney",812,0,0,3,9,"Ford","Penske Championship Racing"
2016,21,"Ricky Stenhouse Jr.",772,0,0,4,6,"Ford","Roush Fenway Racing"
2016,22,"Trevor Bayne",762,0,0,2,5,"Ford","Roush Fenway Racing"
2016,23,"Greg Biffle",691,0,1,1,3,"Ford","Roush Fenway Racing"
2016,24,"Danica Patrick",689,0,0,0,0,"Chevrolet","Stewart-Haas Racing"
2016,25,"Paul Menard",678,0,0,0,3,"Ford","Wood Brothers"
2016,26,"Aric Almirola",638,0,0,0,1,"Ford","Stewart-Haas Racing"
2016,27,"Clint Bowyer",628,0,0,0,3,"Ford","Stewart-Haas Racing"
2016,28,"Casey Mears",556,0,0,0,0,"Chevrolet","Richard Childress Racing"
2016,29,"Landon Cassill",530,0,0,0,0,"Chevrolet",
2016,30,"Michael McDowell",500,0,0,0,2,"Ford","Front Row Motorsports"
2016,31,"Brian Scott",481,0,0,1,1,"Ford","Richard Petty Motorsports"
2016,32,"Dale Earnhardt Jr.",461,0,0,5,6,"Chevrolet","Hendrick Motorsports"
2016,33,"David Ragan",455,0,0,0,0,"Ford","Front Row Motorsports"
2016,34,"Regan Smith",452,0,0,1,2,"Chevrolet","Tommy Baldwin Racing"
2016,35,"Matt DiBenedetto",386,0,0,0,1,"Toyota","BK Racing"
2016,36,"Michael Annett",328,0,0,0,0,"Chevrolet","HScott Motorsports"
2016,37,"Cole Whitt",276,0,0,0,0,"Chevrolet","Premium Motorsports"
2016,38,"Jeff Gordon",218,0,0,0,2,"Chevrolet","Hendrick Motorsports"
2016,39,"Reed Sorenson",198,0,0,0,0,"Chevrolet","Hillman Racing"
2016,40,"Josh Wise",168,0,0,0,0,"Chevrolet","The Motorsports Group"
2016,41,"Jeffrey Earnhardt",159,0,0,0,0,"Toyota","BK Racing"
2016,42,"Brian Vickers",86,0,0,0,1,"Chevrolet","Stewart-Haas Racing"
2016,43,"Bobby Labonte",61,0,0,0,0,"Ford","Go Fas Racing"
2016,44,"David Gilliland",46,0,0,0,0,"Ford",
2016,45,"Michael Waltrip",42,0,0,0,0,,
2016,46,"Boris Said",17,0,0,0,0,"Ford","Go Fas Racing"
2016,47,"Patrick Carpentier",11,0,0,0,0,"Ford","Go Fas Racing"
2016,48,"Gray Gaulding",6,0,0,0,0,"Toyota","BK Racing"
2016,49,"Alex Kennedy",5,0,0,0,0,,
2016,50,"Eddie MacDonald",5,0,0,0,0,"Ford","Go Fas Racing"

