"Year","RK","DRIVER","POINTS","WINS","POLES","TOP_5","TOP_10","MAKE","TEAM","Stage_Points","Stage_Wins"
2019,1,"Kyle Busch",5040,5,1,17,27,"Toyota","Joe Gibbs Racing",277,12
2019,2,"Martin Truex Jr.",5035,7,0,15,24,"Toyota","Joe Gibbs Racing",276,9
2019,3,"Kevin Harvick",5033,4,6,15,26,"Ford","Stewart-Haas Racing",310,6
2019,4,"Denny Hamlin",5027,6,3,19,24,"Toyota","Joe Gibbs Racing",259,6
2019,5,"Joey Logano",2380,2,3,12,21,"Ford","Penske Racing",358,11
2019,6,"Kyle Larson",2339,1,1,8,17,"Chevrolet","Chip Ganassi Racing with Felix Sabates",254,5
2019,7,"Ryan Blaney",2339,1,1,11,18,"Ford","Penske Championship Racing",237,2
2019,8,"Brad Keselowski",2318,3,3,13,19,"Ford","Penske Racing",238,4
2019,9,"Clint Bowyer",2290,0,1,7,18,"Ford","Stewart-Haas Racing",154,1
2019,10,"Chase Elliott",2275,3,4,11,15,"Chevrolet","Hendrick Motorsports",249,5
2019,11,"William Byron",2274,0,5,5,13,"Chevrolet","Hendrick Motorsports",192,2
2019,12,"Alex Bowman",2257,1,0,7,12,"Chevrolet","Hendrick Motorsports",144,0
2019,13,"Kurt Busch",2237,1,0,6,18,"Chevrolet","Chip Ganassi Racing with Felix Sabates",154,3
2019,14,"Aric Almirola",2234,0,1,3,12,"Ford","Stewart-Haas Racing",144,2
2019,15,"Ryan Newman",2219,0,0,3,14,"Ford","Roush Fenway Racing",57,0
2019,16,"Erik Jones",2194,1,0,10,17,"Toyota","Joe Gibbs Racing",120,0
2019,17,"Daniel Suarez",846,0,1,4,11,"Ford","Stewart-Haas Racing",100,0
2019,18,"Jimmie Johnson",835,0,1,3,12,"Chevrolet","Hendrick Motorsports",121,1
2019,19,"Paul Menard",777,0,0,0,4,"Ford","Wood Brothers",33,0
2019,20,"Chris Buescher",729,0,0,0,4,"Chevrolet","JTG Daugherty Racing",34,0
2019,21,"Austin Dillon",700,0,3,0,6,"Chevrolet","Richard Childress Racing",86,2
2019,22,"Matt DiBenedetto",699,0,0,3,7,"Toyota","BK Racing",16,0
2019,23,"Ricky Stenhouse Jr.",679,0,0,1,3,"Ford","Roush Fenway Racing",71,0
2019,24,"Ty Dillon",613,0,0,1,3,"Chevrolet","Germain Racing",20,2
2019,25,"Daniel Hemric",530,0,1,1,2,"Chevrolet","Richard Childress Racing",15,0
2019,26,"Ryan Preece",507,0,0,1,3,"Chevrolet","JTG Daugherty Racing",3,0
2019,27,"Michael McDowell",485,0,0,2,2,"Ford","Front Row Motorsports",15,0
2019,28,"Bubba Wallace",437,0,0,1,1,"Ford","Richard Petty Motorsports",7,0
2019,29,"Corey LaJoie",401,0,0,0,2,"Ford","Go Fas Racing",".","."
2019,30,"David Ragan",388,0,0,0,0,"Ford","Front Row Motorsports",".","."
2019,31,"Matt Tifft",352,0,0,0,1,"Ford","Front Row Motorsports",".","."
2019,32,"Reed Sorenson",118,0,0,0,0,"Chevrolet","Hillman Racing",".","."
2019,33,"Quin Houff",77,0,0,0,0,,,".","."
2019,34,"Jamie McMurray",19,0,0,0,0,,,".","."
2019,35,"Austin Theriault",17,0,0,0,0,,,".","."
2019,36,"Andy Seuss",9,0,0,0,0,,,".","."
2019,37,"Drew Herring",8,0,0,0,0,,,".","."
2019,38,"Blake Jones",6,0,0,0,0,,,".","."
2019,39,"Stanton Barrett",2,0,0,0,0,,,".","."
2019,40,"Casey Mears",1,0,0,0,0,"Chevrolet","Richard Childress Racing",".","."

